Month,Forecast_Revenue,Lower_Bound,Upper_Bound
2010-12-01,413223.4829810357,178856.22743066735,646614.383721874
2011-01-01,466323.20338308276,227018.1517368481,711094.8804656228
2011-02-01,519422.9238052401,276645.97131507477,775176.3560751065
2011-03-01,567383.9616150787,322249.2445272397,814206.1419558536
2011-04-01,620483.6820424509,379326.11355554167,854636.6740962907
2011-05-01,671870.5082573477,427183.23385218607,905831.7337216801
2011-06-01,724970.2286694951,494206.40836245933,947410.1622830073
2011-07-01,776357.0548869453,529304.7136100443,1000814.6044551064
2011-08-01,829456.7753384453,590648.8316670608,1076924.5491814807
2011-09-01,882556.495779888,627328.2564766133,1115403.5176719483
2011-10-01,933943.3220135422,707234.0305282081,1174281.341121597
2011-11-01,987043.042454985,747199.3149204495,1215188.4393558907
2011-12-01,1038429.868688639,806540.8139710396,1263270.8953899872
2012-01-01,1091529.5891300817,852696.3383455776,1331879.0017599815
2012-02-01,1144629.3095715246,891608.0820128182,1379030.1415093187
2012-03-01,1194303.2415973903,948765.6537897327,1444276.6181276196
